"","G6_Skin_Fixed_24_A2","G6_Skin_Fixed_24_A3","G6_Skin_Fixed_24_A4","G6_Skin_Fixed_24_B1","G6_Skin_Fixed_24_B3","G6_Skin_Fixed_24_B4","G6_Skin_Fixed_24_C1","G6_Skin_Fixed_24_C2","G6_Skin_Fixed_24_C3","G6_Skin_Fixed_24_C4","G6_Skin_Fixed_24_D1","G6_Skin_Fixed_24_D2","G6_Skin_Fixed_24_D3","G6_Skin_Fixed_24_D4","G6_Skin_FL_2500_A2","G6_Skin_FL_2500_A4","G6_Skin_FL_2500_B1","G6_Skin_FL_2500_B2","G6_Skin_FL_2500_B3","G6_Skin_FL_2500_B4","G6_Skin_FL_2500_C1","G6_Skin_FL_2500_C2","G6_Skin_FL_2500_C3","G6_Skin_FL_2500_C4","G6_Skin_FL_2500_D1","G6_Skin_FL_2500_D2","G6_Skin_FL_2500_D3","G6_Skin_FL_2500_D4","G4_Feces_Fixed_24_A2","G4_Feces_Fixed_24_A3","G4_Feces_Fixed_24_A4","G4_Feces_Fixed_24_B1","G4_Feces_Fixed_24_B2","G4_Feces_Fixed_24_B3","G4_Feces_Fixed_24_B4","G4_Feces_Fixed_24_C1","G4_Feces_Fixed_24_C2","G4_Feces_Fixed_24_C3","G4_Feces_Fixed_24_C4","G4_Feces_Fixed_24_D1","G4_Feces_Fixed_24_D2","G4_Feces_Fixed_24_D3","G4_Feces_Fixed_24_D4","G4_Feces_FL_350_A2","G4_Feces_FL_350_A3","G4_Feces_FL_350_A4","G4_Feces_FL_350_B1","G4_Feces_FL_350_B2","G4_Feces_FL_350_C1","G4_Feces_FL_350_C2","G4_Feces_FL_350_C3","G4_Feces_FL_350_C4","G4_Feces_FL_350_D1","G4_Feces_FL_350_D2","G4_Feces_FL_350_D3","G4_Feces_FL_350_D4","G7_Soil_Fixed_24_A2","G7_Soil_Fixed_24_A3","G7_Soil_Fixed_24_A4","G7_Soil_Fixed_24_B2","G7_Soil_Fixed_24_B3","G7_Soil_Fixed_24_B4","G7_Soil_Fixed_24_C2","G7_Soil_Fixed_24_C3","G7_Soil_Fixed_24_C4","G7_Soil_Fixed_24_D2","G7_Soil_Fixed_24_D3","G7_Soil_Fixed_24_D4","G7_Soil_FL_5000_A1","G7_Soil_FL_5000_A2","G7_Soil_FL_5000_A4","G7_Soil_FL_5000_B3","G7_Soil_FL_5000_B4","G7_Soil_FL_5000_C2","G7_Soil_FL_5000_C3","G7_Soil_FL_5000_C4","G7_Soil_FL_5000_D2","G7_Soil_FL_5000_D3","G7_Soil_FL_5000_D4"
"g__mle1-7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,2,3,2,0,3,2,0,1,4,2,2,0,1,0
"g__MND1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,18,14,20,13,19,10,17,12,15,29,16,20,20,13,20,15,16,18,22,19,22,17
"g__Mobiluncus",0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Modestobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,9,7,13,6,5,8,6,7,9,8,8,18,11,4,6,7,8,13,10,14,8
"g__Mogibacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Moheibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"g__Monoglobus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,150,147,241,158,157,161,153,153,146,159,220,187,152,174,211,192,176,196,191,187,221,196,184,209,203,200,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Motilibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,3,0,3,0,0,0,2,3,0,0,3,0,2,1
"g__Mucilaginibacter",1,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,3,0,3,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,10,5,14,21,7,19,12,11,14,13,13,11,20,10,16,12,18,20,21,14,13
"g__Mucispirillum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,7,11,7,10,9,16,13,12,17,14,9,10,19,14,13,10,15,10,12,14,14,18,17,21,18,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Mumia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1
